(1, 2)
(1, 24)
(5, 26)
(5, 27)
(5, 37)
(5, 54)
(5, 61)
(5, 70)
(5, 72)
(5, 86)
(5, 87)
(5, 99)
(5, 100)
(5, 104)
(5, 111)
(5, 154)
(5, 155)
(6, 7)
(6, 8)
(6, 63)
(6, 64)
(6, 68)
(6, 85)
(7, 8)
(7, 85)
(8, 85)
(9, 10)
(9, 105)
(9, 115)
(9, 126)
(9, 153)
(11, 39)
(11, 88)
(11, 135)
(13, 34)
(13, 44)
(14, 62)
(14, 102)
(14, 103)
(16, 17)
(16, 20)
(17, 20)
(19, 65)
(19, 93)
(19, 94)
(20, 43)
(20, 44)
(20, 45)
(20, 46)
(20, 65)
(20, 118)
(20, 124)
(22, 44)
(24, 25)
(24, 29)
(24, 99)
(24, 101)
(25, 101)
(25, 115)
(25, 116)
(28, 29)
(28, 30)
(29, 30)
(34, 44)
(34, 89)
(36, 72)
(36, 106)
(37, 154)
(38, 44)
(38, 83)
(38, 88)
(38, 95)
(38, 96)
(39, 88)
(40, 41)
(40, 42)
(41, 42)
(41, 125)
(41, 127)
(41, 130)
(41, 150)
(44, 45)
(44, 48)
(44, 49)
(44, 65)
(44, 89)
(44, 109)
(44, 148)
(45, 65)
(45, 108)
(45, 109)
(45, 148)
(47, 65)
(48, 49)
(55, 65)
(59, 60)
(60, 156)
(61, 62)
(61, 107)
(61, 114)
(62, 114)
(63, 64)
(63, 68)
(64, 68)
(66, 67)
(68, 109)
(68, 131)
(68, 140)
(69, 124)
(72, 113)
(83, 88)
(83, 96)
(86, 87)
(88, 96)
(91, 99)
(93, 94)
(94, 122)
(95, 96)
(97, 98)
(102, 103)
(108, 109)
(108, 112)
(109, 110)
(109, 117)
(109, 131)
(109, 134)
(109, 139)
(109, 140)
(109, 142)
(109, 146)
(109, 148)
(109, 152)
(110, 117)
(110, 139)
(115, 116)
(115, 126)
(115, 153)
(117, 134)
(122, 132)
(122, 138)
(126, 153)
(128, 129)
(128, 138)
(131, 138)
(131, 140)
(137, 138)
(138, 141)
