(1, 161)
(2, 330)
(2, 475)
(3, 172)
(3, 362)
(3, 436)
(4, 157)
(4, 187)
(4, 402)
(4, 459)
(6, 220)
(6, 317)
(6, 361)
(6, 433)
(8, 148)
(9, 32)
(9, 71)
(9, 88)
(9, 124)
(9, 147)
(9, 150)
(9, 165)
(9, 177)
(9, 188)
(9, 212)
(9, 239)
(9, 267)
(9, 307)
(9, 332)
(9, 339)
(9, 361)
(9, 377)
(9, 383)
(9, 390)
(9, 412)
(9, 426)
(9, 443)
(9, 463)
(10, 86)
(10, 97)
(10, 227)
(10, 300)
(11, 472)
(12, 106)
(13, 65)
(14, 62)
(14, 86)
(14, 97)
(14, 227)
(14, 300)
(16, 62)
(16, 86)
(16, 97)
(16, 227)
(16, 300)
(17, 40)
(17, 51)
(17, 81)
(17, 86)
(17, 97)
(17, 104)
(17, 222)
(17, 227)
(17, 241)
(17, 293)
(17, 300)
(17, 302)
(17, 409)
(17, 428)
(17, 464)
(18, 364)
(19, 399)
(21, 152)
(21, 210)
(22, 57)
(23, 220)
(23, 317)
(23, 361)
(23, 433)
(25, 282)
(27, 62)
(27, 86)
(27, 97)
(27, 227)
(27, 300)
(28, 268)
(29, 317)
(30, 96)
(30, 279)
(32, 88)
(32, 124)
(32, 147)
(32, 150)
(32, 165)
(32, 212)
(32, 239)
(32, 307)
(32, 383)
(32, 443)
(33, 67)
(33, 221)
(33, 255)
(33, 336)
(33, 353)
(33, 394)
(34, 130)
(34, 340)
(34, 406)
(35, 36)
(35, 86)
(35, 97)
(35, 119)
(35, 227)
(35, 294)
(35, 300)
(36, 86)
(36, 97)
(36, 119)
(36, 227)
(36, 294)
(36, 300)
(38, 364)
(40, 51)
(40, 81)
(40, 86)
(40, 97)
(40, 104)
(40, 222)
(40, 227)
(40, 241)
(40, 293)
(40, 300)
(40, 302)
(40, 409)
(40, 428)
(40, 464)
(44, 62)
(44, 86)
(44, 97)
(44, 227)
(44, 300)
(46, 62)
(46, 86)
(46, 97)
(46, 227)
(46, 300)
(47, 420)
(48, 196)
(48, 234)
(48, 245)
(48, 314)
(48, 315)
(48, 344)
(49, 185)
(50, 370)
(51, 81)
(51, 86)
(51, 97)
(51, 104)
(51, 222)
(51, 227)
(51, 241)
(51, 293)
(51, 300)
(51, 302)
(51, 409)
(51, 428)
(51, 464)
(52, 374)
(53, 340)
(57, 141)
(57, 142)
(57, 204)
(57, 222)
(57, 396)
(59, 319)
(59, 325)
(59, 431)
(62, 89)
(62, 121)
(62, 229)
(62, 263)
(62, 326)
(62, 415)
(62, 424)
(62, 427)
(62, 453)
(64, 312)
(64, 456)
(64, 469)
(66, 130)
(66, 340)
(66, 406)
(67, 484)
(69, 344)
(71, 88)
(71, 124)
(71, 147)
(71, 150)
(71, 165)
(71, 212)
(71, 239)
(71, 307)
(71, 383)
(71, 443)
(72, 330)
(72, 475)
(73, 86)
(73, 97)
(73, 215)
(73, 216)
(73, 227)
(73, 300)
(74, 407)
(75, 422)
(76, 86)
(76, 97)
(76, 227)
(76, 300)
(78, 482)
(80, 130)
(80, 340)
(80, 406)
(81, 86)
(81, 97)
(81, 104)
(81, 222)
(81, 227)
(81, 241)
(81, 293)
(81, 300)
(81, 302)
(81, 409)
(81, 428)
(81, 464)
(86, 89)
(86, 90)
(86, 97)
(86, 104)
(86, 116)
(86, 121)
(86, 134)
(86, 151)
(86, 155)
(86, 170)
(86, 174)
(86, 190)
(86, 191)
(86, 209)
(86, 220)
(86, 224)
(86, 227)
(86, 234)
(86, 241)
(86, 263)
(86, 270)
(86, 281)
(86, 284)
(86, 293)
(86, 296)
(86, 300)
(86, 302)
(86, 306)
(86, 309)
(86, 318)
(86, 326)
(86, 328)
(86, 333)
(86, 334)
(86, 349)
(86, 351)
(86, 356)
(86, 408)
(86, 409)
(86, 413)
(86, 414)
(86, 415)
(86, 416)
(86, 424)
(86, 427)
(86, 433)
(86, 453)
(86, 464)
(86, 481)
(88, 124)
(88, 147)
(88, 150)
(88, 165)
(88, 177)
(88, 188)
(88, 212)
(88, 239)
(88, 267)
(88, 307)
(88, 332)
(88, 339)
(88, 361)
(88, 377)
(88, 383)
(88, 390)
(88, 412)
(88, 426)
(88, 443)
(88, 463)
(89, 97)
(89, 227)
(89, 300)
(90, 97)
(90, 227)
(90, 300)
(91, 437)
(93, 330)
(93, 475)
(94, 248)
(94, 384)
(94, 404)
(96, 347)
(97, 104)
(97, 116)
(97, 121)
(97, 134)
(97, 151)
(97, 155)
(97, 170)
(97, 174)
(97, 190)
(97, 191)
(97, 209)
(97, 220)
(97, 224)
(97, 227)
(97, 234)
(97, 241)
(97, 263)
(97, 270)
(97, 281)
(97, 284)
(97, 293)
(97, 296)
(97, 300)
(97, 302)
(97, 306)
(97, 309)
(97, 318)
(97, 326)
(97, 328)
(97, 333)
(97, 334)
(97, 349)
(97, 351)
(97, 356)
(97, 408)
(97, 409)
(97, 413)
(97, 414)
(97, 415)
(97, 416)
(97, 424)
(97, 427)
(97, 433)
(97, 453)
(97, 464)
(97, 481)
(99, 317)
(101, 220)
(101, 317)
(101, 361)
(101, 433)
(104, 222)
(104, 227)
(104, 241)
(104, 293)
(104, 300)
(104, 302)
(104, 409)
(104, 428)
(104, 464)
(107, 222)
(115, 247)
(115, 379)
(116, 139)
(116, 227)
(116, 300)
(116, 480)
(117, 475)
(119, 193)
(119, 465)
(120, 451)
(121, 227)
(121, 300)
(122, 173)
(122, 219)
(124, 147)
(124, 150)
(124, 165)
(124, 177)
(124, 188)
(124, 212)
(124, 239)
(124, 267)
(124, 307)
(124, 332)
(124, 339)
(124, 361)
(124, 377)
(124, 383)
(124, 390)
(124, 412)
(124, 426)
(124, 443)
(124, 463)
(125, 202)
(125, 354)
(126, 317)
(130, 137)
(130, 162)
(130, 261)
(130, 398)
(131, 449)
(133, 207)
(134, 227)
(134, 300)
(135, 400)
(136, 273)
(136, 278)
(137, 157)
(137, 187)
(137, 402)
(137, 459)
(137, 471)
(139, 328)
(139, 332)
(139, 339)
(139, 356)
(139, 390)
(139, 412)
(139, 416)
(139, 426)
(140, 377)
(140, 465)
(145, 220)
(145, 317)
(145, 361)
(145, 433)
(147, 150)
(147, 165)
(147, 177)
(147, 188)
(147, 212)
(147, 239)
(147, 267)
(147, 307)
(147, 332)
(147, 339)
(147, 361)
(147, 377)
(147, 383)
