(0, 100)
(1, 338)
(2, 277)
(3, 98)
(4, 88)
(4, 140)
(4, 159)
(4, 171)
(4, 172)
(4, 183)
(4, 215)
(4, 236)
(4, 388)
(4, 432)
(7, 30)
(7, 58)
(7, 132)
(7, 137)
(7, 143)
(8, 48)
(8, 452)
(9, 252)
(10, 121)
(10, 211)
(11, 228)
(11, 365)
(12, 112)
(12, 243)
(12, 324)
(12, 422)
(13, 149)
(13, 422)
(14, 154)
(15, 146)
(15, 249)
(16, 206)
(16, 383)
(16, 429)
(16, 453)
(17, 429)
(18, 208)
(18, 216)
(18, 267)
(18, 449)
(19, 453)
(20, 59)
(20, 440)
(21, 38)
(21, 115)
(21, 242)
(21, 415)
(22, 156)
(22, 185)
(22, 289)
(23, 64)
(23, 216)
(23, 449)
(24, 87)
(24, 249)
(25, 46)
(26, 114)
(26, 146)
(27, 186)
(28, 402)
(29, 146)
(30, 132)
(30, 419)
(31, 291)
(32, 126)
(32, 364)
(33, 59)
(33, 70)
(33, 98)
(33, 179)
(33, 326)
(33, 332)
(33, 457)
(34, 358)
(35, 414)
(36, 146)
(36, 302)
(39, 182)
(40, 102)
(42, 398)
(43, 254)
(43, 265)
(43, 373)
(45, 198)
(46, 187)
(47, 213)
(47, 287)
(48, 128)
(48, 336)
(49, 413)
(50, 279)
(51, 231)
(52, 203)
(53, 83)
(55, 118)
(55, 169)
(56, 146)
(56, 192)
(56, 238)
(56, 291)
(56, 337)
(56, 397)
(56, 437)
(57, 441)
(57, 453)
(58, 106)
(58, 114)
(58, 132)
(58, 146)
(58, 227)
(58, 228)
(58, 249)
(58, 393)
(58, 401)
(59, 233)
(59, 299)
(59, 440)
(60, 441)
(61, 399)
(62, 147)
(64, 216)
(64, 449)
(65, 273)
(66, 110)
(66, 145)
(67, 241)
(68, 306)
(69, 260)
(70, 396)
(71, 142)
(71, 146)
(71, 200)
(71, 248)
(71, 249)
(71, 345)
(71, 412)
(71, 445)
(72, 288)
(73, 352)
(74, 369)
(75, 119)
(75, 457)
(76, 268)
(77, 103)
(77, 120)
(78, 338)
(79, 358)
(80, 196)
(81, 133)
(82, 441)
(83, 133)
(83, 262)
(83, 401)
(87, 146)
(87, 359)
(87, 393)
(87, 412)
(88, 173)
(88, 408)
(89, 119)
(90, 287)
(90, 401)
(92, 125)
(92, 319)
(92, 385)
(92, 397)
(92, 411)
(93, 365)
(93, 376)
(94, 221)
(95, 146)
(95, 172)
(95, 334)
(95, 435)
(96, 255)
(98, 119)
(98, 153)
(98, 311)
(98, 371)
(98, 392)
(98, 427)
(98, 457)
(99, 374)
(99, 403)
(100, 151)
(100, 454)
(101, 163)
(101, 310)
(101, 446)
(104, 205)
(105, 223)
(106, 132)
(106, 137)
(106, 276)
(106, 419)
(107, 318)
(107, 453)
(108, 116)
(108, 126)
(108, 138)
(108, 146)
(108, 180)
(108, 181)
(108, 183)
(108, 194)
(108, 196)
(108, 198)
(108, 214)
(108, 217)
(108, 237)
(108, 251)
(108, 264)
(108, 274)
(108, 309)
(108, 313)
(108, 362)
(108, 368)
(108, 399)
(108, 417)
(108, 435)
(108, 445)
(108, 450)
(108, 459)
(109, 306)
(110, 145)
(110, 322)
(111, 293)
(112, 163)
(112, 446)
(113, 454)
(114, 146)
(114, 348)
(115, 242)
(116, 140)
(116, 193)
(118, 169)
(118, 319)
(119, 311)
(119, 317)
(121, 211)
(122, 192)
(123, 266)
(124, 378)
(125, 427)
(125, 457)
(126, 147)
(126, 399)
(128, 383)
(129, 245)
(130, 147)
(131, 442)
(132, 393)
(132, 419)
(133, 307)
(133, 318)
(134, 302)
(134, 460)
(135, 305)
(136, 336)
(137, 143)
(137, 253)
(137, 276)
(139, 225)
(139, 249)
(140, 279)
(140, 430)
(141, 439)
(142, 445)
(143, 276)
(144, 380)
(146, 161)
(146, 172)
(146, 209)
(146, 227)
(146, 238)
(146, 248)
(146, 249)
(146, 274)
(146, 291)
(146, 299)
(146, 333)
(146, 341)
(146, 348)
(146, 393)
(146, 412)
(146, 435)
(146, 437)
(146, 445)
(147, 442)
(148, 405)
(148, 427)
(149, 374)
(149, 403)
(150, 250)
(150, 275)
(150, 345)
(150, 454)
(154, 235)
(155, 335)
(156, 289)
(157, 325)
(158, 383)
(160, 318)
(161, 172)
(161, 225)
(161, 348)
(162, 421)
(163, 440)
(163, 446)
(164, 302)
(165, 172)
(166, 267)
(166, 374)
(166, 403)
(167, 259)
(167, 356)
(168, 347)
(168, 447)
(169, 319)
(169, 339)
(170, 310)
(171, 338)
(172, 209)
(172, 227)
(172, 238)
(172, 274)
(172, 341)
(172, 393)
(172, 433)
(172, 435)
(172, 437)
(172, 445)
(173, 236)
(174, 360)
(175, 239)
(175, 291)
(175, 308)
(175, 318)
(175, 319)
(176, 436)
(177, 210)
(177, 263)
(178, 321)
(179, 332)
(181, 231)
(181, 247)
(182, 337)
(182, 426)
(183, 196)
(183, 350)
(183, 357)
(183, 377)
(183, 459)
(184, 277)
(188, 227)
(189, 292)
(190, 424)
(192, 198)
(192, 443)
(193, 223)
(194, 399)
(195, 299)
(199, 457)
(200, 445)
(201, 261)
(202, 315)
(204, 289)
(204, 443)
(204, 456)
(208, 216)
(208, 267)
(208, 284)
(208, 290)
(208, 327)
(208, 381)
(208, 417)
(208, 449)
(212, 457)
(213, 264)
(213, 315)
(213, 379)
(216, 449)
(218, 457)
(219, 246)
(219, 305)
(220, 282)
(222, 304)
(224, 340)
(225, 238)
(225, 249)
(225, 333)
(225, 445)
(226, 416)
(227, 228)
(227, 419)
(227, 435)
(228, 365)
(228, 419)
(229, 298)
(230, 401)
(233, 308)
(233, 318)
(233, 401)
(234, 404)
(236, 359)
(236, 432)
(239, 377)
(239, 392)
(239, 457)
(240, 320)
(241, 366)
(243, 403)
(243, 422)
(244, 292)
(244, 424)
(247, 387)
(247, 397)
(249, 435)
(250, 314)
(250, 431)
(250, 454)
(255, 409)
(256, 372)
(258, 299)
(259, 442)
(261, 363)
(261, 423)
(264, 379)
(264, 400)
(265, 373)
(266, 457)
(267, 417)
(267, 422)
(267, 449)
(268, 363)
(270, 275)
(271, 281)
(272, 280)
(274, 399)
(274, 435)
(275, 335)
(275, 345)
(277, 301)
(278, 374)
(279, 430)
(281, 356)
(281, 434)
(282, 361)
(283, 304)
(284, 290)
(284, 327)
(284, 449)
(285, 353)
(286, 384)
(287, 350)
(290, 381)
(291, 383)
(292, 424)
(293, 323)
(294, 296)
(294, 326)
(295, 438)
(297, 306)
(299, 309)
(300, 328)
(303, 363)
(308, 318)
(309, 417)
(311, 385)
(311, 411)
(311, 457)
(312, 357)
